Jack Perkins, 2933011, None, H, P
E.J. Exposito, 29089541, None, H, SS|U
Santiago Suarez, 29322026, None, H, P
Rafael Marchan, 2824077, None, H, C|U
Viosergy Rosa, 2120727, None, H, 1B|U
Carter Young, 29077593, None, H, SS|U
JT Schwartz, 26911667, None, H, 1B|U
Marcus Mack, 2775049, None, H, P
Jhoan Urena, 2167359, None, H, 3B|U
Ashe Russell, 2184465, None, H, P
Logan Wyatt, 3151904, None, H, 1B|U
Carlos Penalver, 2048851, None, H, 2B|U
Craig Dedelow, 2836792, None, H, OF|U
Domingo Tapia, 1947849, None, H, P
Beau Philip, 3152097, None, H, SS|U
Eric Yardley, 2226175, None, H, P
Collin Ferguson, 2228499, None, H, 1B|U
Olbis Parra, 2824893, None, H, P
Jordan Smith, 2052584, None, H, 3B|U
Danny Hultzen, 1888603, None, H, P
Quincy Nieporte, 2837295, None, H, 1B|U
Devyn Bolasky, 2821609, None, H, OF|U
Camilo Diaz, 29321918, None, H, SS|U
Glenallen Hill Jr., 28840802, None, H, SS|U
Jacob Webb, 28855171, None, H, P
Alex Isola, 3158011, None, H, C|U
Blake Bass, 3104014, None, H, P
Jason Stoffel, 1794787, None, H, P
Jimmy Kingsbury, 29087230, None, H, P
Orlando Ribalta, 29085043, None, H, P
Jiwan James, 1955137, None, H, OF|U
Max Pentecost, 2135607, None, H, C|U
Tanner Gordon, 28862951, None, H, P
James Kennedy, 2227981, None, H, C|U
Cabera Weaver, 29090731, None, H, OF|U
Zach Linginfelter, 2932878, None, H, P
Justin Martinez, 26615409, None, H, P
Alex Lavisky, 2120276, None, H, C|U
Alejandro Pie, 28846861, None, H, SS|U
Erik Stock, 29089456, None, H, OF|U
Odrisamer Despaigne, 2132830, None, H, P
Jabari Henry, 2171427, None, H, OF|U
Wander Franco, 2804232, None, H, 3B|U
Karson Simas, 29086760, None, H, SS|U
Ti'Quan Forbes, 2739979, None, H, 3B|U
Gordon Beckham, 1660445, None, H, 2B|U
Eddy Rodriguez, 1603042, None, H, C|U
Andy Wilkins, 1954877, None, H, 1B|U
Evan Carter, 26615381, None, H, OF|U
Joshua Zamora, 29089061, None, H, 3B|U
Eric Brown, 28920030, None, H, SS|U
Yoenis Cespedes, 1953406, None, H, U
Francisco Urbaez, 28838892, None, H, 3B|U
Terance Marin, 2171880, None, H, P
Sean Sullivan, 29295961, None, H, P
Neyfy Castillo, 28837124, None, H, 1B|U
Chad De La Guerra, 2227061, None, H, 2B|U
Jacob Bosiokovic, 2801262, None, H, 1B|U
Josh Vidales, 2803487, None, H, 2B|U
Ashley Graeter, 2801263, None, H, C|U
Warming Bernabel, 26912504, None, H, 3B|U
Eduardo Paredes, 2444541, None, H, P
Brett Kinneman, 2932853, None, H, OF|U
Evan Fitterer, 26615424, None, H, P
Julian Escobedo, 28840981, None, H, OF|U
Riley Tirotta, 28843226, None, H, C|U
Reed Trimble, 26911706, None, H, OF|U
Bryson Myles, 2051179, None, H, OF|U
Kyle Wilson, 2837696, None, H, P
Matt Andriese, 2114451, None, H, P
Richard Rodriguez, 2226624, None, H, P
Tim Elliott, 26615436, None, H, P
Fraser Ellard, 29078828, None, H, P
Jack Wynkoop, 2826673, None, H, P
Ross Kivett, 2170277, None, H, OF|U
Ben Krauth, 3095383, None, H, P
Brooks Wilson, 2837695, None, H, P
Anfernee Grier, 2449445, None, H, OF|U
Victor Vodnik, 2933180, None, H, P
Luke Eubank, 2918678, None, H, P
Cole McDonald, 29092498, None, H, P
RJ Hively, 2113499, None, H, P
Ryan Weiss, 2933192, None, H, P
Benny Montgomery, 26719576, None, H, OF|U
Xavier Paul, 1098984, None, H, OF|U
Angel Lopez Alvarez, 2837142, None, H, C|U
Michael Brewer, 29085279, None, H, P
Justin De Fratus, 1784923, None, H, P
Corbin Clouse, 3085541, None, H, P
Angel Moreno, 2228494, None, H, OF|U
Nic Kent, 29089059, None, H, SS|U
Cristian Toribio, 2226390, None, H, SS|U
Austin Franklin, 2507338, None, H, P
Kevin Cron, 2171198, None, H, U
Bryce Bonnin, 2836625, None, H, P
Preston Palmeiro, 2506930, None, H, 1B|U
Will Toffey, 2837606, None, H, 3B|U
Evan Justice, 29188043, None, H, P
Junior Perez, 2930992, None, H, OF|U
Andres Sosa, 29079728, None, H, C|U
Burl Carraway, 3168263, None, H, P
Nick Raposo, 29077089, None, H, C|U
Mishael Deson, 26913037, None, H, OF|U
Matthew Wivinis, 2842941, None, H, P
Jake Higginbotham, 2932814, None, H, P
Ryan Lavarnway, 1799267, None, H, C|U
Jacob Misiorowski, 29075709, None, H, P
Dennis Ortega, 2699272, None, H, C|U
Tommy Nance, 2731490, None, H, P
Jimmy Glowenke, 26615359, None, H, SS|U
Cade Gotta, 2171612, None, H, OF|U
Nick Frasso, 26615441, None, H, P
Tim Lopes, 2118908, None, H, 2B|U
Adriam Santana, 29153563, None, H, SS|U
Alberto Rosario, 1661457, None, H, C|U
Ramon Morla, 1950983, None, H, SS|U
Jordany Ventura, 26615428, None, H, P
Javier Valdes, 29085266, None, H, C|U
Hirotoshi Onaka, 2049020, None, H, OF|U
Garrison Schwartz, 3094344, None, H, OF|U
Nick Pasquale, 2760035, None, H, P
Jose Velez, 2227745, None, H, P
Clayton Daniel, 3157029, None, H, 2B|U
Adam Lau, 2915588, None, H, P
Jesus Zambrano, 2826713, None, H, P
Chase Estep, 29086117, None, H, 3B|U
Logan Taylor Allen, 26757783, None, H, P
Ethan Skender, 2798062, None, H, SS|U
Steven Gingery, 2932765, None, H, P
Ilvin Fernandez, 28843185, None, H, SS|U
Brandon McIlwain, 2221842, None, H, OF|U
John Mora, 2226041, None, H, OF|U
Tyler Waldron, 2120588, None, H, P
Luis Rodriguez, 26914520, None, H, OF|U
Alexis Pantoja, 2228459, None, H, SS|U
Will Wilson, 3117912, None, H, SS|U
Gerardo Reyes, 2228211, None, H, P
Miguel Pena, 2119051, None, H, P
Matt Dennis, 28838086, None, H, P
Andrew Daschbach, 3157968, None, H, 1B|U
Nick Routt, 2509402, None, H, P
Alimber Santa, 29077586, None, H, P
Angel Contreras, 29088944, None, H, SS|U
Carlos Jorge, 26913008, None, H, 2B|U
Christian Koss, 3152046, None, H, SS|U
Trevor Lane, 2915876, None, H, P
Connor Owings, 2747493, None, H, 2B|U
A.J. Simcox, 2740130, None, H, SS|U
Kyle Hunter, 2120046, None, H, P
Andrew Vasquez, 2985551, None, H, P
Dom Thompson-Williams, 3083970, None, H, OF|U
Tyler Cyr, 2822211, None, H, P
Kyle McPherson, 2837213, None, H, 2B|U
Yoniel Curet, 29292533, None, H, P
Taylor Ard, 2797623, None, H, 1B|U
Jonathan Machado, 2910620, None, H, OF|U
Josh Roberson, 2837405, None, H, P
Matt Brill, 2836648, None, H, P
Nicholas Padilla, 28938319, None, H, P
Chris Rotondo, 29086561, None, H, OF|U
Kemp Alderman, 29295920, None, H, OF|U
Reydel Medina, 2171835, None, H, OF|U
Michael Saunders, 1208675, None, H, OF|U
Yohanse Morel, 2931289, None, H, P
Manuel Cachutt, 2829872, None, H, P
Tyler Myrick, 29089644, None, H, P
Shane McCain, 2171841, None, H, P
Russell Smith, 2837529, None, H, P
Cole Waites, 28946373, None, H, P
Eduard Bazardo, 2821477, None, H, P
Jake Henson, 2227789, None, H, C|U
Will Matthiessen, 29088491, None, H, 1B|U
Blake Cederlind, 3151012, None, H, P
Christian McGowan, 26911777, None, H, P
Amos Willingham, 29085051, None, H, P
Drew Lugbauer, 2837146, None, H, 1B|U
Tristen Lutz, 2837149, None, H, OF|U
J.P. Sportman, 2170515, None, H, OF|U
Miguel Del Castillo, 1959742, None, H, C|U
Chris Rodriguez, 2910633, None, H, P
AJ Lewis, 28838088, None, H, C|U
Brian Howard, 2837010, None, H, P
Jake Jewell, 2823556, None, H, P
Pin-Chieh Chen, 2048850, None, H, 2B|U
Jerry Keel, 2823657, None, H, P
Osvaldo Abreu, 2227735, None, H, SS|U
Connor Phillips, 26615435, None, H, P
Nick Howard, 2136392, None, H, P
Evan Miller, 2921620, None, H, P
Andrew Brown, 3096417, None, H, P
Austin Smith, 2211223, None, H, P
Luis Medina, 2911278, None, H, P
Connor Curlis, 29084570, None, H, P
Sean Jamieson, 2113500, None, H, SS|U
Jonathan Loaisiga, 2898233, None, H, P
Deivy Castillo, 2171704, None, H, OF|U
Alejandro Salazar, 3094343, None, H, SS|U
Danis Correa, 2828993, None, H, P
Jonathan Galvez, 1946521, None, H, SS|U
Ryan Walker, 2777321, None, H, SS|U
Zech Lemond, 2167490, None, H, P
Kyle Kasser, 28840218, None, H, 2B|U
Dexter Kjerstad, 2797625, None, H, OF|U
Tim Dillard, 1098916, None, H, P
Kelby Tomlinson, 2119960, None, H, 2B|U
Tanner Murphy, 29087199, None, H, OF|U
Luis Matos, 26615364, None, H, OF|U
Jonah Todd, 2837605, None, H, OF|U
Zach Vincej, 2044556, None, H, SS|U
Jake Gelof, 29295901, None, H, 3B|U
Troy Miller, 29085039, None, H, P
Ryan Grotjohn, 2836943, None, H, 2B|U
Johneshwy Fargas, 2226580, None, H, OF|U
Alfredo Reyes, 2228189, None, H, SS|U
Blake Rambusch, 29088523, None, H, 3B|U
Abiezel Ramirez, 2829405, None, H, SS|U
Leon Landry, 1809063, None, H, OF|U
Greg Williams, 2804926, None, H, P
Aneurys Zabala, 2826706, None, H, P
Jake Anchia, 2932265, None, H, C|U
Javier Rivas, 28843222, None, H, SS|U
Niko Hulsizer, 2932824, None, H, OF|U
Zach Jackson, 2837031, None, H, C|U
Luke Farrell, 2227177, None, H, P
Jamal O'Guinn, 28846907, None, H, OF|U
Damek Tomscha, 2921563, None, H, 1B|U
Pat Blair, 2171827, None, H, 3B|U
Rob Scahill, 1941517, None, H, P
Ramiro Rodriguez, 2825548, None, H, OF|U
Brandon Bednar, 2170063, None, H, 3B|U
Seth Stephenson, 29086260, None, H, OF|U
Kevin Ziomek, 2066824, None, H, P
Clay Helvey, 29086581, None, H, P
Trever Adams, 1961303, None, H, 1B|U
Rob Kaminsky, 2066310, None, H, P
Agustin Marte, 2824106, None, H, SS|U
Nick Robertson, 26635161, None, H, P
Hogan Harris, 2932799, None, H, P
Parker Bridwell, 2118843, None, H, P
Kaylan Nicasia, 28851012, None, H, SS|U
Mike Zagurski, 1224207, None, H, P
Francisco Mendoza, 2171183, None, H, P
Danny Gutierrez, 1735904, None, H, P
Nicholas Shumpert, 3107126, None, H, SS|U
Matt Mikulski, 26911743, None, H, P
Brantley Bell, 2223536, None, H, 2B|U
Alexfri Planez, 26615367, None, H, OF|U
Joey DeMichele, 2044488, None, H, 2B|U
Alay Lago, 2915580, None, H, 3B|U
Josue De Paula, 29077648, None, H, OF|U
Jace Fry, 2171636, None, H, P
Chase Lee, 28837033, None, H, P
Dahian Santos, 29077595, None, H, P
Nonie Williams, 2507190, None, H, SS|U
Manny Banuelos, 1799265, None, H, P
Brian Johnson, 2044522, None, H, P
Chris Colabello, 2042867, None, H, 1B|U
Steve Selsky, 2046774, None, H, OF|U
Pres Cavenaugh, 29086580, None, H, OF|U
Anderson Green, 2823102, None, H, SS|U
Branden Boissiere, 26911668, None, H, 1B|U
Emilio Guerrero, 2051174, None, H, SS|U
Jorbit Vivas, 2931076, None, H, 2B|U
Caleb Adams, 2226042, None, H, OF|U
Jacob Melton, 29075704, None, H, OF|U
Austin Beck, 2835058, None, H, OF|U
Ty Kelly, 2044377, None, H, 2B|U
Jared Miller, 2702105, None, H, P
Luis Frias, 2822799, None, H, P
Aldo Ramirez, 26615445, None, H, P
Jordan Gore, 2836931, None, H, SS|U
Nelson Molina, 2915617, None, H, 3B|U
Carter Williams, 29084419, None, H, OF|U
Kyle Petty, 2803764, None, H, C|U
O'Koyea Dickson, 2048789, None, H, 1B|U
Colton Plaia, 2227747, None, H, C|U
Robbie Glendinning, 2921564, None, H, SS|U
Reggie Pruitt, 2910619, None, H, OF|U
Deck McGuire, 1765819, None, H, P
Jacob Reimer, 29075706, None, H, 3B|U
Alan Garcia, 2228195, None, H, OF|U
Colton Eastman, 2932713, None, H, P
Corey Toups, 2226047, None, H, 2B|U
Andrick Nava, 3157972, None, H, C|U
Izaac Pacheco, 26911685, None, H, SS|U
Dariel Gomez, 2822995, None, H, 1B|U
Louie Lechich, 2227979, None, H, OF|U
Austin Hyatt, 1833105, None, H, P
Bryson Brigman, 2447623, None, H, SS|U
Abimelec Ortiz, 29322000, None, H, 1B|U
Tyler Keenan, 3165228, None, H, 3B|U
Calten Daal, 2169715, None, H, SS|U
Ty Culbreth, 3108882, None, H, P
Fabian Pertuz, 2930993, None, H, 2B|U
Cristhian Rodriguez, 28843168, None, H, 1B|U
Alan Roden, 29085045, None, H, OF|U
Max Clark, 29153542, None, H, OF|U
Jackson Miller, 26615317, None, H, C|U
Jose Rodriguez, 3108968, None, H, P
Rainer Nunez, 28846859, None, H, 1B|U
Zach Shepherd, 2170278, None, H, 3B|U
Jorge Flores, 2171864, None, H, SS|U
Mason Fox, 26635148, None, H, P
Paul Skenes, 29153541, None, H, P
Chris Rusin, 1940758, None, H, P
Henry Davis, 26719539, None, H, OF|U
Walking Cabrera, 2864364, None, H, OF|U
Brennan Bernardino, 2228480, None, H, P
