Cole Waites, 28946373, P
Eduard Bazardo, 2821477, P
Jake Henson, 2227789, C|U
Will Matthiessen, 29088491, 1B|U
Blake Cederlind, 3151012, P
Christian McGowan, 26911777, P
Amos Willingham, 29085051, P
Drew Lugbauer, 2837146, 1B|U
Tristen Lutz, 2837149, OF|U
J.P. Sportman, 2170515, OF|U
Miguel Del Castillo, 1959742, C|U
AJ Lewis, 28838088, C|U
Brian Howard, 2837010, P
Jake Jewell, 2823556, P
Pin-Chieh Chen, 2048850, 2B|U
Jerry Keel, 2823657, P
Osvaldo Abreu, 2227735, SS|U
Connor Phillips, 26615435, P
Nick Howard, 2136392, P
Evan Miller, 2921620, P
Andrew Brown, 3096417, P
Austin Smith, 2211223, P
Connor Curlis, 29084570, P
Sean Jamieson, 2113500, SS|U
Jonathan Loaisiga, 2898233, P
Deivy Castillo, 2171704, OF|U
Alejandro Salazar, 3094343, SS|U
Danis Correa, 2828993, P
Jonathan Galvez, 1946521, SS|U
Ryan Walker, 2777321, SS|U
Zech Lemond, 2167490, P
Kyle Kasser, 28840218, 2B|U
Dexter Kjerstad, 2797625, OF|U
Tanner Murphy, 29087199, OF|U
Jonah Todd, 2837605, OF|U
Zach Vincej, 2044556, SS|U
Jake Gelof, 29295901, 3B|U
Troy Miller, 29085039, P
Ryan Grotjohn, 2836943, 2B|U
Johneshwy Fargas, 2226580, OF|U
Alfredo Reyes, 2228189, SS|U
Blake Rambusch, 29088523, 3B|U
Abiezel Ramirez, 2829405, SS|U
Leon Landry, 1809063, OF|U
Greg Williams, 2804926, P
Aneurys Zabala, 2826706, P
Jake Anchia, 2932265, C|U
Javier Rivas, 28843222, SS|U
Niko Hulsizer, 2932824, OF|U
Zach Jackson, 2837031, C|U
Luke Farrell, 2227177, P
Jamal O'Guinn, 28846907, OF|U
Damek Tomscha, 2921563, 1B|U
Pat Blair, 2171827, 3B|U
Rob Scahill, 1941517, P
Ramiro Rodriguez, 2825548, OF|U
Brandon Bednar, 2170063, 3B|U
Seth Stephenson, 29086260, OF|U
Kevin Ziomek, 2066824, P
Clay Helvey, 29086581, P
Trever Adams, 1961303, 1B|U
Rob Kaminsky, 2066310, P
Agustin Marte, 2824106, SS|U
Nick Robertson, 26635161, P
Hogan Harris, 2932799, P
Kaylan Nicasia, 28851012, SS|U
Mike Zagurski, 1224207, P
Francisco Mendoza, 2171183, P
Danny Gutierrez, 1735904, P
Nicholas Shumpert, 3107126, SS|U
Matt Mikulski, 26911743, P
Brantley Bell, 2223536, 2B|U
Alexfri Planez, 26615367, OF|U
Joey DeMichele, 2044488, 2B|U
Alay Lago, 2915580, 3B|U
Josue De Paula, 29077648, OF|U
Chase Lee, 28837033, P
Dahian Santos, 29077595, P
Nonie Williams, 2507190, SS|U
Steve Selsky, 2046774, OF|U
Pres Cavenaugh, 29086580, OF|U
Anderson Green, 2823102, SS|U
Branden Boissiere, 26911668, 1B|U
Emilio Guerrero, 2051174, SS|U
Jorbit Vivas, 2931076, 2B|U
Caleb Adams, 2226042, OF|U
Jacob Melton, 29075704, OF|U
Austin Beck, 2835058, OF|U
Luis Frias, 2822799, P
Aldo Ramirez, 26615445, P
Jordan Gore, 2836931, SS|U
Nelson Molina, 2915617, 3B|U
Carter Williams, 29084419, OF|U
Kyle Petty, 2803764, C|U
O'Koyea Dickson, 2048789, 1B|U
Colton Plaia, 2227747, C|U
Robbie Glendinning, 2921564, SS|U
Reggie Pruitt, 2910619, OF|U
Deck McGuire, 1765819, P
Jacob Reimer, 29075706, 3B|U
Alan Garcia, 2228195, OF|U
Colton Eastman, 2932713, P
Corey Toups, 2226047, 2B|U
Andrick Nava, 3157972, C|U
Izaac Pacheco, 26911685, SS|U
Dariel Gomez, 2822995, 1B|U
Louie Lechich, 2227979, OF|U
Austin Hyatt, 1833105, P
Bryson Brigman, 2447623, SS|U
Abimelec Ortiz, 29322000, 1B|U
Tyler Keenan, 3165228, 3B|U
Calten Daal, 2169715, SS|U
Ty Culbreth, 3108882, P
Fabian Pertuz, 2930993, 2B|U
Cristhian Rodriguez, 28843168, 1B|U
