IDPLAYER,PLAYERNAME,FIRSTNAME,LASTNAME,IDFANGRAPHS,FANGRAPHSNAME,MLBID,MLBNAME,CBSID,CBSNAME,BREFID,ESPNID,ESPNNAME,BPID,FANTPROSNAME,LASTCOMMAFIRST,RAZZBALLNAME
gourryu01,Yulieski Gurriel,Yulieski,Gurriel,19198,Yuli Gurriel,493329,Yulieski Gurriel,2250236,Yuli Gurriel,gourryu01,36006,Yulieski Gurriel,51408,Yuli Gurriel,"Gurriel, Yulieski",Yuli Gurriel
kikucyu01,Yusei Kikuchi,Yusei,Kikuchi,20633,Yusei Kikuchi,579328,Yusei Kikuchi,3073522,Yusei Kikuchi,kikucyu01,41415,Yusei Kikuchi,125512,Yusei Kikuchi,"Kikuchi, Yusei",Yusei Kikuchi
diazyu01,Yusniel Diaz,Yusniel,Diaz,sa912848,Yusniel Diaz,666783,Yusniel Diaz,2227224,Yusniel Diaz,diazyu01,34961,Yusniel Diaz,107192,Yusniel Diaz,"Diaz, Yusniel",Yusniel Diaz
galleza01,Zac Gallen,Zac,Gallen,19291,Zac Gallen,668678,Zac Gallen,2914671,Zac Gallen,galleza01,39910,Zac Gallen,108886,Zac Gallen,"Gallen, Zac",Zac Gallen
lowthza01,Zac Lowther,Zac,Lowther,20243,Zac Lowther,675912,Zac Lowther,2837144,Zac Lowther,lowthza01,40537,Zac Lowther,110211,Zac Lowther,"Lowther, Zac",Zac Lowther
veenza01,Zac Veen,Zac,Veen,sa3014516,Zac Veen,691728,Zac Veen,3173109,Zac Veen,veenza01,,Zac Veen,,Zac Veen,"Veen, Zac",Zac Veen
brittza01,Zach Britton,Zach,Britton,3240,Zack Britton,502154,Zach Britton,1733482,Zack Britton,brittza01,31054,Zach Britton,50155,Zack Britton,"Britton, Zach",Zack Britton
davieza02,Zach Davies,Zach,Davies,13183,Zach Davies,605200,Zach Davies,2167465,Zach Davies,davieza02,33829,Zach Davies,70977,Zach Davies,"Davies, Zach",Zach Davies
eflinza01,Zach Eflin,Zach,Eflin,13774,Zach Eflin,621107,Zach Eflin,2044513,Zach Eflin,eflinza01,32804,Zach Eflin,100518,Zach Eflin,"Eflin, Zach",Zach Eflin
greenza02,Zach Greene,Zach,Greene,sa1119415,Zach Greene,681891,Zach Greene,2932784,Zach Greene,greenza02,,Zach Greene,122110,Zach Greene,"Greene, Zach",Zach Greene
jacksza02,Zach Jackson,Zach,Jackson,19493,Zach Jackson,667427,Zach Jackson,3086076,Zach Jackson,jacksza02,,Zach Jackson,108935,Zach Jackson,"Jackson, Zach",Zach Jackson
logueza01,Zach Logue,Zach,Logue,20231,Zach Logue,656657,Zach Logue,2837138,Zach Logue,logueza01,,Zach Logue,110193,Zach Logue,"Logue, Zach",Zach Logue
mckinza01,Zach McKinstry,Zach,McKinstry,19392,Zach McKinstry,656716,Zach McKinstry,2794938,Zach McKinstry,mckinza01,38420,Zach McKinstry,108977,Zach McKinstry,"McKinstry, Zach",Zach McKinstry
