Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
George Kirby,SEA,12.1936,10.3409,18.4303,3.60938,32,32,0,0,191.482,786.053,181.279,83.3432,76.7925,25.1055,32.846,,7.8204,183.801,8.63897,1.54382,5.59584,1.18,0.233828,0.041786,0.192041885107756,0.243201,1.11825,0.291107,0.730716,0.42968,,3.67684,3.5079,3.50368,34.939998626709,,,,25436
Zach Eflin,TBR,11.9537,9.6988,17.6078,3.63438,30.78,30.78,0,0,183.966,758.936,176.245,80.829,74.2892,23.2615,35.0674,,6.4836,177.74,8.69543,1.71557,5.06854,1.138,0.234197,0.046206,0.187990952283144,0.245677,1.14865,0.29626,0.729992,0.451045,,3.64409,3.38474,3.29863,82.9700012207031,,,,13774
Luis Castillo,SEA,12.2785,10.4568,18.9441,3.62231,32,32,0,0,194.922,814.55,174.512,85.2999,78.4519,24.2353,59.1209,,7.4816,205.306,9.47945,2.72975,3.47264,1.119,0.252048,0.0725811,0.179466925561428,0.233321,1.1986,0.289882,0.742766,0.435086,,3.78989,3.38468,3.53819,28.6900005340576,,,,15689
Yoshinobu Yamamoto,LAD,12.2612,8.7706,17.1091,3.97871,29.16,29.16,0,0,183.708,768.331,170.524,87.1356,81.2134,27.4746,50.1436,,6.7252,199.674,9.78218,2.45657,3.98204,1.346,0.25988,0.065263,0.194617047905922,0.239681,1.20119,0.295365,0.732874,0.39877,,3.95413,3.36763,3.05232,44.310001373291,,,,sa3023345
Justin Steele,CHC,11.4917,10.0115,16.965,3.68711,30.78,30.78,0,0,181.11,755.886,170.753,81.0229,74.1971,20.1435,55.1464,,7.5022,173.979,8.6456,2.74042,3.15485,1.001,0.230165,0.072956,0.157209031283855,0.246313,1.2473,0.301753,0.732816,0.484242,,3.81743,3.3354,3.68421,101.139999389648,,,,17312
Jesús Luzardo,MIA,11.2997,10.1922,16.7172,3.74433,30.78,30.78,0,0,180.777,761.488,159.75,81.2015,75.21,23.1395,62.7466,,7.4321,205.727,10.2421,3.12384,3.27869,1.152,0.270164,0.0824,0.187763966619968,0.231084,1.23078,0.295411,0.743263,0.403827,,3.80763,3.31424,3.73415,79.4300003051758,,,,19959
Kodai Senga,NYM,11.935,9.8761,17.6628,3.74554,30.78,30.78,0,0,186.618,793.106,159.796,84.2695,77.6649,22.3734,78.7744,,6.5376,214.909,10.3644,3.79905,2.72815,1.079,0.270971,0.0993239,0.171647049486637,0.225766,1.27839,0.29207,0.744524,0.431275,,3.88184,3.29207,3.22811,66.0899963378906,,,,31838
Blake Snell,,11.6864,9.5297,16.2984,3.65925,30.78,30.78,0,0,176.432,749.18,143.784,77.7151,71.7342,20.6033,81.5227,,5.263,221.133,11.2803,4.15857,2.71253,1.051,0.295167,0.108816,0.186350949108601,0.217067,1.27702,0.292828,0.751247,0.412,,3.74211,3.28715,3.62084,64.4899978637695,,,,13543
Freddy Peralta,MIL,10.7645,9.2421,15.0874,3.67859,29.16,29.16,0,0,165.354,688.977,137.192,72.6984,67.5857,22.2861,57.677,,7.5333,197.488,10.749,3.13928,3.42403,1.213,0.286639,0.083714,0.20292491465807,0.219941,1.17849,0.284426,0.746452,0.380554,,3.80159,3.2652,3.43206,52.7999992370606,,,,18679
Jordan Montgomery,,11.8172,10.6888,17.1441,3.93958,32,32,0,0,190.721,804.729,187.568,90.561,83.4844,24.2851,51.8672,,6.6929,173.495,8.18712,2.44758,3.34498,1.146,0.215594,0.064453,0.151141069829464,0.251374,1.25542,0.29775,0.724674,0.446,,4.01215,3.19873,3.26475,139.740005493164,,,,16511
